Id	Key	Value
190	ss_showstyles	Style 
#衣服定制详情(cd_)		
191	cd_title	Customize Details 
192	cd_quantity	Qty
193	cd_mainfabric	Fabric:
194	cd_button	Button:
195	cd_fabric	Fabric:
196	cd_remark	Remarks:
#订单支付(p_)		
197	p_title	Payment
198	p_choose	Payment method
199	p_price	￥Total Amount :$
200	p_pay	Checkout 
#消息窗口(mb_)		
201	mb_title	Tip:
202	mb_promptorder	Decide to cancel the order
203	mb_promptquit	Decide to quit
204	mb_cancle	Cancel 
205	mb_confirm	Confirm 
206	mb_deleteaddress	Decide to delete the address
207	mb_deleteclothes	Decide to delete the clothing
208	mb_deletecollect	Decide to delete the favorite
#提示(tip_)		
209	tip_testerror	Measurement Failed
210	tip_usernameerror	Username incorrect
211	tip_passworderror	Password invalid
212	tip_passwordnull	Password empty
213	tip_passwordiffer	Password incorrect
214	tip_modifypassword	Reset password successfully 
215	tip_iderror	Verify code failed
216	tip_notregister	Mobile not registered yet
217	tip_logout	Logout failed
218	tip_modifysuccess	Update successfully 
219	tip_canclesuccess	Cancel successfully 
220	tip_requestfail	Request failed
221	tip_sendid	Verify code sent 
222	tip_inputphone	Please enter the correct PhoneNum
223	tip_inputpassword	Password
224	tip_inputid	Verify password
225	tip_phoneregister	The mobileNo has been registered
226	tip_registersuccess	"Registered, please login"
227	tip_registerfail	Register failed 
228	tip_inputaddress	Please input address
229	tip_inputsize	Please input size 
230	tip_deleteaddress	Delete failed
231	tip_defaultaddress	Default setting failed
232	tip_consignee	Consignee empty
233	tip_phone	PhoneNo empty
234	tip_province	Province empty
235	tip_city	City empty
236	tip_area	District empty
237	tip_address	Address empty
238	tip_postalcode	ZipCode empty
239	tip_canclefail	Order cancellation failed
240	tip_modifyfail	Update order status failed
241	tip_chooseclothes	Please select a cloth 
242	tip_blmajor	BILANG-SpecializeInTailor-Make 
243	tip_blmc	"BILANG, Men's Tailor-Make !"
#订单评价(or_v_)		
244	or_v_title	Order feedback
245	or_v_code	PO#:
246	or_v_quantity	QTY:
247	or_v_evaluate	Please comment here...
248	or_v_takephoto	Take photo
249	or_v_photo	Album
250	or_v_pe	Rate
251	or_v_quality	Quality
252	or_v_serve	Service
253	or_v_size	Well-fitting
254	or_v_submit	Submit
#订单支付(or_ps_)		
255	or_ps_title	Pay Result
256	or_ps_number	PO#:
257	or_ps_price	Amount
258	or_ps_way	Payment Chanel:
259	or_ps_pnew	RePay
260	or_ps_wx	WeChatPay
261	or_ps_upacp	UnionPay
262	or_ps_alipay	AliPay
263	or_ps_succeed	Payment Successfully
264	or_ps_fail	Payment Failed
#注册信息(pr_)		
265	pr_title	Profile
266	pr_username	Account
267	pr_password	Password
268	pr_passwordc	Repeat password
269	pr_name	Name
270	pr_sex	Sex
271	pr_register	Register
272	pr_message	I accept the agreement
